time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-06-14T09:09:33.432Z,-5.5073,147.1267,186.31,5.6,mww,,14,5.186,0.71,us,us7000hh98,2022-06-15T09:13:06.348Z,"135 km N of Lae, Papua New Guinea",earthquake,8.9,4.1,0.045,48,reviewed,us,us
2022-06-14T07:59:22.586Z,31.72076869,-104.5221571,5.206079102000001,2.9,ml,17,103,0.03294759216,0.2,tx,tx2022logi,2022-06-14T08:19:59.713Z,"52 km SSW of Whites City, New Mexico",earthquake,1.358067114,0.7802642664,0.2,10,reviewed,tx,tx
2022-06-14T07:35:44.771Z,36.4812,71.1634,207.9,4.9,mb,,72,0.797,1,us,us7000hh92,2022-06-14T09:03:49.574Z,"39 km SW of Ashk?sham, Afghanistan",earthquake,6.8,5.4,0.038,219,reviewed,us,us
2022-06-14T05:23:38.145Z,-7.3457,125.8495,490.4,4.8,mb,,38,2.86,0.76,us,us7000hh8j,2022-06-14T05:56:55.040Z,"130 km N of Manatutu, Timor Leste",earthquake,8.9,8.1,0.113,24,reviewed,us,us
2022-06-14T04:44:47.472Z,-8.0392,123.0621,232.82,4.3,mb,,60,1.008,0.5,us,us7000hh8a,2022-06-15T02:20:53.040Z,"113 km NE of Maumere, Indonesia",earthquake,9.1,6.6,0.148,13,reviewed,us,us
2022-06-14T02:41:09.139Z,32.00649999,-103.8257691,7.082763671999999,2.9,ml,7,89,0.0828016495,0.2,tx,tx2022lnvv,2022-06-15T06:48:46.942Z,"33 km SE of Malaga, New Mexico",earthquake,2.838578772,2.595243607,0.2,16,reviewed,tx,tx
2022-06-14T02:38:42.298Z,15.0983,53.5127,10,4.7,mb,,119,10.117,0.69,us,us7000hh7y,2022-06-14T03:17:08.040Z,"188 km SE of Al Ghayz?ah, Yemen",earthquake,4.7,1.9,0.1,30,reviewed,us,us
2022-06-14T02:17:50.383Z,33.4202,142.1941,10,4.5,mb,,153,2.017,0.85,us,us7000hh7v,2022-06-14T03:28:03.040Z,"258 km SE of Katsuura, Japan",earthquake,11.3,1.9,0.104,27,reviewed,us,us
2022-06-14T02:16:21.268Z,31.68860483,-104.4235641,5.951611328,2.8,ml,16,89,0.06879722282,0.2,tx,tx2022lnva,2022-06-14T02:54:39.040Z,"54 km S of Whites City, New Mexico",earthquake,1.294225106,1.566286255,0.1,11,reviewed,tx,tx
2022-06-14T01:25:46.079Z,56.3712,-148.5709,10,3.2,ml,,252,2.608,0.75,us,us7000hh7k,2022-06-14T05:54:27.565Z,"264 km ESE of Chiniak, Alaska",earthquake,8.6,2,0.055,44,reviewed,us,us
2022-06-14T01:01:29.490Z,56.3306,-148.5968,10,3.1,ml,,255,2.619,0.23,us,us7000hh7f,2022-06-14T01:54:28.040Z,"265 km SE of Chiniak, Alaska",earthquake,5.2,2,0.055,44,reviewed,us,us
2022-06-14T00:18:21.942Z,-7.72,-13.586,10,5.1,mww,,117,0.795,0.49,us,us7000hh76,2022-06-15T00:21:23.513Z,"93 km ENE of Georgetown, Saint Helena",earthquake,3.5,1.9,0.098,10,reviewed,us,us
2022-06-14T00:17:24.457Z,-23.8002,-66.9511,228.57,4.3,mwr,,124,1.409,0.45,us,us7000hh72,2022-06-14T00:37:12.040Z,"79 km NW of San Antonio de los Cobres, Argentina",earthquake,9.4,13.1,,,reviewed,us,guc
2022-06-14T00:17:07.580Z,-7.6579,-13.7007,10,5,mb,,71,0.708,0.47,us,us7000hh75,2022-06-14T01:08:14.040Z,"83 km ENE of Georgetown, Saint Helena",earthquake,5,1.8,0.083,47,reviewed,us,us
2022-06-14T00:15:15.900Z,18.0175,-66.858,19.19,2.52,md,5,129,,0.13,pr,pr71353968,2022-06-14T04:51:45.436Z,"1 km ENE of Palomas, Puerto Rico",earthquake,0.62,1.09,0.152967258598399,4,reviewed,pr,pr
2022-06-14T00:06:30.270Z,50.7407,-173.4134,15.43,2.6,ml,,310,1.543,0.62,us,us7000hh8k,2022-06-17T04:33:39.040Z,"170 km SSE of Atka, Alaska",earthquake,9.5,18.3,0.128,8,reviewed,us,us
2022-06-13T23:22:06.773Z,-22.2725,-179.5999,587.56,4.3,mb,,113,5.015,0.55,us,us7000hi4r,2022-06-17T20:36:23.040Z,"south of the Fiji Islands",earthquake,15.2,11.3,0.142,14,reviewed,us,us
2022-06-13T23:20:24.170Z,-7.7481,-13.5742,10,5.1,mb,,67,0.8,0.79,us,us7000hh6v,2022-06-13T23:39:54.040Z,"94 km ENE of Georgetown, Saint Helena",earthquake,6.1,1.3,0.063,82,reviewed,us,us
2022-06-13T20:57:19.167Z,-7.7673,-13.594,10,5.2,mww,,41,0.776,0.71,us,us7000hh61,2022-06-17T18:05:17.040Z,"91 km E of Georgetown, Saint Helena",earthquake,6.8,1.8,0.093,11,reviewed,us,us
2022-06-13T20:50:58.433Z,57.1113,-136.3049,15,3.5,ml,,,,0.77,ak,ak0227jkcfeu,2022-06-17T18:00:00.040Z,"59 km W of Sitka, Alaska",earthquake,,1.7,,,reviewed,ak,ak
2022-06-13T20:48:03.515Z,54.3722,-162.2415,35,3.5,ml,,181,0.838,0.59,us,us7000hh5t,2022-06-17T17:57:59.040Z,"76 km S of King Cove, Alaska",earthquake,4.1,2,0.071,26,reviewed,us,us
2022-06-13T19:36:35.770Z,40.478,-122.0265,9.39,2.58,md,32,35,0.09958,0.23,nc,nc73745021,2022-06-17T17:55:49.040Z,"12km W of Shingletown, CA",earthquake,0.4,1.05,0.123,44,reviewed,nc,nc
2022-06-13T19:32:29.259Z,-7.7344,-13.7109,10,4.6,mb,,55,0.672,0.8,us,us7000hi4q,2022-06-17T17:53:03.040Z,"80 km ENE of Georgetown, Saint Helena",earthquake,6.6,1.9,0.108,26,reviewed,us,us
2022-06-13T19:08:22.336Z,-6.0633,147.5048,65.34,4.4,mb,,78,4.999,0.98,us,us7000hh4z,2022-06-17T17:42:01.040Z,"66 km NW of Finschhafen, Papua New Guinea",earthquake,9.5,6,0.09,35,reviewed,us,us
2022-06-13T18:09:54.214Z,-45.958,35.1373,10,4.8,mb,,47,18.907,0.52,us,us7000hh4m,2022-06-17T17:34:15.040Z,"Prince Edward Islands region",earthquake,13.1,1.9,0.09,38,reviewed,us,us
2022-06-13T17:56:04.411Z,36.5352,70.8563,201.86,4.2,mb,,85,0.63,0.92,us,us7000hh4j,2022-06-17T17:27:12.040Z,"36 km S of Jurm, Afghanistan",earthquake,5.6,6.2,0.2,7,reviewed,us,us
2022-06-13T17:45:18.972Z,12.95,-88.8911,58.23,4.1,mb,,191,0.756,1.12,us,us7000hh4i,2022-06-17T17:23:29.040Z,"52 km SW of Puerto El Triunfo, El Salvador",earthquake,5.9,9.4,0.165,10,reviewed,us,us
