time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-03-31T08:16:30.000Z,37.4108333,-118.601,10.53,3.29,ml,29,61,0.06494,0.07,nc,nc73712606,2022-06-04T20:42:29.040Z,"0km SW of Round Valley, CA",earthquake,0.33,0.85,0.234,44,reviewed,nc,nc
2022-03-31T07:52:16.574Z,-19.3367,-177.2888,576.26,4,mb,,135,4.694,0.8,us,us7000gzvf,2022-06-04T20:42:29.040Z,"295 km NW of Nuku‘alofa, Tonga",earthquake,10.5,11.7,0.163,12,reviewed,us,us
2022-03-31T07:49:16.221Z,12.2365,143.0748,19.16,4.5,mb,,126,2.206,0.63,us,us7000gzvd,2022-06-04T20:42:29.040Z,"207 km WSW of Merizo Village, Guam",earthquake,9.4,5.7,0.096,35,reviewed,us,us
2022-03-31T07:46:18.699Z,-22.5229,170.4522,10,4.4,mb,,118,2.779,0.53,us,us7000gzvz,2022-06-04T20:42:29.040Z,"286 km ESE of Tadine, New Caledonia",earthquake,4.8,1.9,0.155,16,reviewed,us,us
2022-03-31T07:41:38.108Z,-22.3651,170.0337,10,4.7,mb,,82,2.405,0.89,us,us7000gynm,2022-06-04T20:42:29.040Z,"240 km ESE of Tadine, New Caledonia",earthquake,6.9,1.8,0.112,24,reviewed,us,us
2022-03-31T07:29:38.135Z,-22.6125,170.4424,10,4.4,mb,,108,2.768,0.4,us,us7000gzvc,2022-06-04T20:42:29.040Z,"289 km ESE of Tadine, New Caledonia",earthquake,10.4,1.7,0.169,13,reviewed,us,us
2022-03-31T07:22:11.235Z,35.5596,74.8138,66.44,4.4,mb,,87,2.291,0.69,us,us7000gynf,2022-06-04T20:42:28.040Z,"60 km SE of Gilgit, Pakistan",earthquake,6.8,5.3,0.077,49,reviewed,us,us
2022-03-31T07:22:01.025Z,-22.5452,170.1161,10,5.1,mb,,83,2.468,0.5,us,us7000gyng,2022-06-04T20:42:28.040Z,"255 km ESE of Tadine, New Caledonia",earthquake,7.6,1.8,0.084,46,reviewed,us,us
2022-03-31T07:09:46.730Z,-22.2574,170.6888,10,4.4,mb,,244,3.02,0.41,us,us7000gzvw,2022-06-04T20:42:28.040Z,"southeast of the Loyalty Islands",earthquake,11.8,2,0.179,13,reviewed,us,us
2022-03-31T07:03:49.247Z,29.131,142.6619,10,4.5,mb,,118,4.662,0.37,us,us7000gzvy,2022-06-04T20:42:28.040Z,"Izu Islands, Japan region",earthquake,11.2,1.9,0.1,29,reviewed,us,us
2022-03-31T06:56:57.217Z,-22.741,170.3585,10,4.3,mb,,80,2.692,0.32,us,us7000gzvp,2022-06-04T20:42:28.040Z,"287 km ESE of Tadine, New Caledonia",earthquake,6.4,1.9,0.188,11,reviewed,us,us
2022-03-31T06:45:08.388Z,-22.5848,170.1191,10,4.9,mb,,150,2.47,0.61,us,us7000gyn9,2022-06-04T20:42:28.040Z,"258 km ESE of Tadine, New Caledonia",earthquake,9.4,1.9,0.094,36,reviewed,us,us
2022-03-31T06:42:25.959Z,-22.688,170.1843,10,4.6,mb,,82,2.53,0.35,us,us7000gyn8,2022-06-04T20:42:28.040Z,"269 km ESE of Tadine, New Caledonia",earthquake,4,1.8,0.117,22,reviewed,us,us
2022-03-31T06:31:48.249Z,-22.096,170.732,10,4.2,mb,,198,3.084,0.45,us,us7000gzwv,2022-06-04T20:42:28.040Z,"southeast of the Loyalty Islands",earthquake,7,2,0.166,11,reviewed,us,us
2022-03-31T06:27:45.104Z,-22.402,170.1823,10,4.3,mb,,154,2.538,0.43,us,us7000gzvb,2022-06-04T20:42:28.040Z,"255 km ESE of Tadine, New Caledonia",earthquake,7.8,2,0.168,15,reviewed,us,us
2022-03-31T06:24:41.611Z,-21.8083,170.3661,10,4.2,mb,,189,2.821,0.48,us,us7000gzvu,2022-06-04T20:42:28.040Z,"258 km E of Tadine, New Caledonia",earthquake,7.1,2,0.153,15,reviewed,us,us
